Index,Zeit,Langenanderung,Temperatur
805,523.0693359,19.76606178,471.7534485
806,523.0852661,19.53274345,470.5112
807,523.0990601,19.32687569,469.6240234
808,523.1138306,19.12100792,468.5311585
809,523.12854,18.87671089,467.4489746
810,523.1444092,18.61869049,466.3126221
811,523.1582031,18.39086342,465.3682861
812,523.171936,18.157547,464.3091431
813,523.1878662,17.90501595,463.2027588
814,523.2015991,17.73208618,462.1965942
815,523.2174683,17.50974846,461.0951538
816,523.2312012,17.25447273,460.0665588
817,523.2449951,17.07056427,459.0402222
818,523.2618408,16.80979919,458.0087585
819,523.2766113,16.58197212,456.9511414
820,523.2903442,16.35139847,455.8565064
821,523.307312,16.1235714,454.7967224
822,523.3231812,15.85731697,453.6969605
823,523.3390503,15.59106064,452.5179749
824,523.3538208,15.36872292,451.620636
825,523.3676148,15.17658043,450.4876099
826,523.3835449,14.9322834,449.3872681
827,523.3962402,14.70445633,448.3552246
828,523.4119873,14.45192528,447.386322
829,523.4278565,14.22958755,446.3576965
830,523.4448242,13.9660759,445.230072
831,523.4585571,13.75471878,444.2725525
832,523.4744873,13.51042175,442.9606018
833,523.4892578,13.25240135,442.045929
834,523.5062256,13.02182961,440.8915405
835,523.5210571,12.81596184,439.9007874
836,523.5358887,12.57166481,438.8587952
837,523.5516357,12.33560371,437.8320923
838,523.5685425,12.07483673,436.847168
839,523.5844116,11.81681633,435.7904358
840,523.6003418,11.58075333,434.6179199
841,523.6171875,11.33096695,433.684967
842,523.6331177,11.0674572,432.6455689
843,523.6469116,10.88080406,431.5319519
844,523.6638184,10.61180305,430.415802
845,523.6775513,10.37574005,429.4816284
846,523.694519,10.15340424,428.1502075
847,523.7102661,9.91459656,427.2792664
848,523.7229614,9.75813675,426.2370911
849,523.737793,9.494627,425.2215271
850,523.7536621,9.23935127,424.1656494
851,523.7695313,8.97583961,423.1520386
852,523.7885742,8.69036865,421.9773254
853,523.8045044,8.47901154,421.0169067
854,523.8214722,8.22373581,419.7736816
855,523.8362427,8.00414276,418.8758545
856,523.854187,7.73514223,417.8827515
857,523.8700562,7.47163153,416.7581482
858,523.8848267,7.25478411,415.655304
859,523.902832,6.99676275,414.7207336
860,523.921875,6.7222724,413.5939636
861,523.935669,6.52463913,412.5879517
862,523.9525757,6.2775979,411.4082642
863,523.9696045,6.00585222,410.4364319
864,523.9876099,5.72038221,409.3002625
865,524.0066528,5.45961618,408.3218079
866,524.0235596,5.196105,407.227356
867,524.0383911,5.01219654,406.0724182
868,524.0542603,4.6992774,405.1849365
869,524.0733643,4.46870518,403.942749
870,524.0881958,4.24636793,403.024292
871,524.1062012,3.94442844,401.982544
872,524.12323,3.7220912,400.8511963
873,524.1381226,3.51622343,399.8508911
874,524.1550293,3.23898792,398.7598267
875,524.1751099,2.96724224,397.7712097
876,524.1921387,2.65157819,396.7031555
877,524.2059326,2.44845533,395.6581116
878,524.2229004,2.24533224,394.490509
879,524.2398682,2.00103569,393.4759522
880,524.2589722,1.68811655,392.3448792
881,524.2770386,1.4355855,391.3394775
882,524.2940064,1.20501328,390.2464294
883,524.3098755,0.96346188,389.2554321
884,524.3288574,0.69720602,388.0879517
885,524.3457642,0.44192982,387.0361023
886,524.3638306,0.20861292,385.9588623
887,524.3807983,-0.06313276,384.8627014
888,524.4019775,-0.33762312,383.8407288
889,524.4189453,-0.57642984,382.8062439
890,524.4359741,-0.80700207,381.7410889
891,524.4540405,-1.0760026,380.649353
892,524.4710083,-1.31206465,379.6322937
893,524.4943237,-1.64419794,378.5689697
894,524.5112305,-1.92143345,377.5499878
895,524.5355835,-2.24533224,376.2634277
896,524.5504761,-2.4210062,375.4156494
897,524.5706787,-2.68726158,374.284668
898,524.5918579,-3.0166502,373.2842407
899,524.6077881,-3.23349762,372.1112976
900,524.6300049,-3.52445793,371.0245361
901,524.6512451,-3.80443764,370.1088562
902,524.6682129,-4.05971432,369.0502014
903,524.6903687,-4.36988831,367.9576721
904,524.7147827,-4.69927692,366.9099731
905,524.7370606,-4.96278763,365.8252564
906,524.7688599,-5.35805416,364.8121338
907,524.7943726,-5.70116711,363.6972351
908,524.8220215,-6.0223217,362.6932068
909,524.8463745,-6.2638731,361.6227417
910,524.8760986,-6.54110813,360.5667725
911,524.9036865,-6.77717018,359.4465332
912,524.9365845,-7.03519154,358.4290161
913,524.9746094,-7.24380398,357.2727356
914,525.0043335,-7.47437572,356.3319092
915,525.0340576,-7.60613155,355.2851868
916,525.0668945,-7.74612141,354.2253418
917,525.1061401,-7.83944798,353.1275635
918,525.1411743,-7.92728519,352.0971069
919,525.1931763,-8.00414276,351.0247803
920,525.2260742,-8.03982639,349.9677734
921,525.2802734,-7.9657135,348.9301148
922,525.3183594,-7.94649982,347.8943787
923,525.3639526,-7.87787724,346.6842346
924,525.4095459,-7.66651917,345.7351074
925,525.4636841,-7.41947746,344.6748352
926,525.5167236,-7.06538486,343.5876465
927,525.5772095,-6.51640415,342.5060425
928,525.6419678,-5.95095348,341.42276
929,525.6981812,-5.34432983,340.3925171
930,525.7670898,-4.51536846,339.3552856
931,525.8349609,-3.7248354,338.2565918
932,525.8900147,-2.97822189,337.2310486
933,525.9696045,-2.02024984,336.1251221
934,526.0491943,-1.01286983,335.1546021
935,526.1309815,0.04117346,334.0510864
936,526.1998901,0.90856361,332.9293213
937,526.28479,1.91594386,331.9282837
938,526.3494873,2.72294569,330.8831177
939,526.4365234,3.76051998,329.7759399
940,526.5223389,4.72672653,328.7644959
941,526.5858765,5.46236086,327.7204285
942,526.6505737,6.16505671,326.6576538
943,526.7429199,7.18616152,325.6028137
944,526.8118286,7.88062239,324.4966431
945,526.8850708,8.66566467,323.4430542
946,526.9783936,9.56324959,322.3220825
947,527.0261231,10.02164841,321.3088989
948,527.1088867,10.81767082,320.2582398
949,527.1746216,11.32822227,319.1674194
950,527.2443848,11.95131683,318.2697449
951,527.3259888,12.62107277,316.9799194
952,527.3938599,13.17005348,315.9569397
953,527.4553833,13.64492226,314.9057617
954,527.5106201,14.00176048,313.8340454
955,527.5743408,14.45192528,312.776947
956,527.6316528,14.86366081,311.6439209
957,527.6932373,15.25069237,310.6297302
958,527.7526856,15.65419388,309.5809937
959,527.8110352,16.00279617,308.5042725
960,527.8692627,16.32943916,307.4793396
961,527.9179688,16.6066761,306.4036865
962,527.9785156,16.92233849,305.2984009
963,528.0283814,17.18859482,304.2178955
964,528.0836182,17.45759583,303.0735474
965,528.1313477,17.65797424,302.139679
966,528.1812134,17.86109734,301.0874634
967,528.2279663,18.03402519,300.0212097
968,528.2821045,18.22891426,298.8166504
969,528.3243408,18.41831207,297.8635254
970,528.3742676,18.58849716,296.8125916
971,528.4188843,18.70927238,295.7904968
972,528.468811,18.8986702,294.6936951
973,528.5015869,18.94808006,293.6991272
974,528.545166,19.17865181,292.6032715
975,528.5897217,19.31864166,291.5591736
976,528.6385498,19.40647888,290.4831848
977,528.6841431,19.48608017,289.3930359
978,528.7276001,19.60960197,288.4046326
979,528.7679443,19.67273331,287.3348389
980,528.8114014,19.80723381,286.2821045
981,528.8464356,19.85664368,285.2218933
